T02
x: 239.04, y: -96.96

T03
x: 95.60, y: -159.88

x: 143.35, y: -159.90
x: 191.23, y: -139.38
x: 162.99, y: -96.99
x: 177.52, y: -55.32
x: 172.06, y: -34.02
x: 139.05, y: -55.25
x: 111.01, y: -75.99
x: 91.03, y: -75.98
x: 86.44, y: -97.25
x: 63.04, y: -54.86
x: 44.06, y: -33.89
x: 244.01, y: -76.00
x: 253.60, y: -55.04
x: 286.07, y: -139.35
x: 286.83, y: -159.94
x: 400.50, y: -75.74
x: 353.03, y: -33.99

T04
x: 400.02, y: -33.94

T05
x: 19.53, y: -159.89
x: 38.20, y: -139.66
x: 38.20, y: -118.49
x: 21.98, y: -97.12
x: 21.98, y: -76.03
x: 19.82, y: -12.94
x: 63.32, y: -12.97
x: 114.55, y: -34.00
x: 139.31, y: -12.97
x: 168.02, y: -76.04
x: 153.12, y: -118.49
x: 134.04, y: -139.37
x: 95.81, y: -118.50
x: 76.10, y: -139.39
x: 210.51, y: -118.49
x: 248.52, y: -139.37
x: 229.31, y: -159.90
x: 287.06, y: -118.46
x: 315.03, y: -97.09
x: 315.05, y: -55.02
x: 314.99, y: -34.05
x: 314.99, y: -12.91
x: 282.51, y: -34.00
x: 256.02, y: -13.00
x: 210.62, y: -12.96
x: 215.53, y: -34.00
x: 353.03, y: -76.01
x: 372.03, y: -76.01
x: 381.01, y: -96.94
x: 353.05, y: -118.48
x: 372.04, y: -159.90
x: 419.18, y: -119.09
x: 457.00, y: -118.92
x: 381.00, y: -55.00
x: 372.52, y: -12.97

T06
x: 315.05, y: -76.05
x: 353.05, y: -138.88
x: 457.70, y: -76.20
x: 457.70, y: -54.84
x: 457.70, y: -33.90
x: 457.70, y: -13.19
